date,temperature,humidity,luminosity
2021-11-17 15:39:57.985,20.3,27.4,104
2021-11-17 15:39:55.708,20.3,27.4,104
2021-11-17 15:39:53.430,20.3,27.3,103
2021-11-17 15:39:51.152,20.3,27.3,104
2021-11-17 15:39:48.871,20.3,27.3,104
2021-11-17 15:39:46.593,20.3,27.3,104
2021-11-17 15:39:44.315,20.3,27.3,104
2021-11-17 15:39:42.038,20.3,27.2,104
2021-11-17 15:39:39.760,20.3,27.2,104
2021-11-17 15:39:37.479,20.4,27.2,104
2021-11-17 15:39:35.201,20.4,27.2,104
2021-11-17 15:39:32.924,20.4,27.2,104
2021-11-17 15:39:30.646,20.4,27.2,104
2021-11-17 15:39:28.368,20.5,27.3,104
2021-11-17 15:39:26.090,20.5,27.3,104
2021-11-17 15:39:23.809,20.5,27.3,104
2021-11-17 15:39:21.531,20.5,27.3,104
2021-11-17 15:39:19.254,20.5,27.3,104
2021-11-17 15:39:16.976,20.5,27.3,104
2021-11-17 15:39:14.698,20.5,27.4,104
2021-11-17 15:39:12.418,20.5,27.4,104
2021-11-17 15:39:10.139,20.5,27.4,104
2021-11-17 15:39:07.862,20.5,27.4,104
2021-11-17 15:39:05.584,20.5,27.4,104
2021-11-17 15:39:03.306,20.5,27.4,104
2021-11-17 15:39:01.029,20.5,27.4,104
2021-11-17 15:38:58.747,20.6,27.5,104
2021-11-17 15:38:56.469,20.6,27.4,104
2021-11-17 15:38:54.192,20.6,27.5,104
2021-11-17 15:38:51.914,20.6,27.5,104
2021-11-17 15:38:49.636,20.6,27.5,104
2021-11-17 15:38:47.359,20.6,27.5,105
2021-11-17 15:38:45.077,20.5,27.5,104
2021-11-17 15:38:42.800,20.6,27.5,104
2021-11-17 15:38:40.522,20.6,27.5,104
2021-11-17 15:38:38.244,20.6,27.5,104
2021-11-17 15:38:35.967,20.6,27.5,104
2021-11-17 15:38:33.690,20.6,27.5,104
2021-11-17 15:38:31.407,20.6,27.5,104
2021-11-17 15:38:29.130,20.6,27.5,104
2021-11-17 15:38:26.852,20.6,27.5,104
2021-11-17 15:38:24.575,20.6,27.5,104
2021-11-17 15:38:22.297,20.6,27.5,104
2021-11-17 15:38:20.015,20.6,27.5,104
2021-11-17 15:38:17.738,20.6,27.5,104
2021-11-17 15:38:15.460,20.6,27.5,104
2021-11-17 15:38:13.182,20.6,27.5,104
2021-11-17 15:38:10.905,20.6,27.5,104
2021-11-17 15:38:08.627,20.6,27.5,104
2021-11-17 15:38:06.346,20.6,27.5,104
2021-11-17 15:38:04.068,20.6,27.5,104
2021-11-17 15:38:01.790,20.7,27.6,105
2021-11-17 15:37:59.513,20.7,27.6,104
2021-11-17 15:37:57.236,20.7,27.7,104
2021-11-17 15:37:54.958,20.7,27.7,104
2021-11-17 15:37:52.677,20.7,27.7,104
2021-11-17 15:37:50.399,20.7,27.7,104
2021-11-17 15:37:48.121,20.7,27.7,104
2021-11-17 15:37:45.844,20.7,27.7,104
2021-11-17 15:37:43.566,20.7,27.7,104
2021-11-17 15:37:41.284,20.7,27.6,104
2021-11-17 15:37:39.007,20.7,27.6,104
2021-11-17 15:37:36.729,20.7,27.6,104
2021-11-17 15:37:34.452,20.7,27.6,104
2021-11-17 15:37:32.174,20.7,27.6,104
2021-11-17 15:37:29.892,20.7,27.6,104
2021-11-17 15:37:27.615,20.7,27.6,104
2021-11-17 15:37:25.337,20.7,27.6,104
2021-11-17 15:37:23.059,20.7,27.6,104
2021-11-17 15:37:20.782,20.8,27.6,104
2021-11-17 15:37:18.504,20.7,27.6,104
2021-11-17 15:37:16.223,20.8,27.7,104
2021-11-17 15:37:13.945,20.8,27.7,104
2021-11-17 15:37:11.667,20.8,27.7,105
2021-11-17 15:37:09.390,20.8,27.7,105
2021-11-17 15:37:07.112,20.8,27.7,105
2021-11-17 15:37:04.834,20.8,27.7,104
2021-11-17 15:37:02.553,20.8,27.7,104
2021-11-17 15:37:00.275,20.8,27.7,104
2021-11-17 15:36:57.997,20.8,27.7,105
2021-11-17 15:36:55.720,20.8,27.7,104
2021-11-17 15:36:53.442,20.8,27.7,104
2021-11-17 15:36:51.164,20.8,27.7,105
2021-11-17 15:36:48.883,20.8,27.7,105
2021-11-17 15:36:46.605,20.8,27.7,105
2021-11-17 15:36:44.328,20.8,27.8,105
2021-11-17 15:36:42.050,20.8,27.8,105
2021-11-17 15:36:39.772,20.8,27.8,104
2021-11-17 15:36:37.495,20.8,27.8,104
2021-11-17 15:36:35.213,20.8,27.8,104
2021-11-17 15:36:32.935,20.8,27.8,104
2021-11-17 15:36:30.658,20.9,27.8,104
2021-11-17 15:36:28.380,20.9,27.8,104
2021-11-17 15:36:26.103,20.9,27.8,105
2021-11-17 15:36:23.821,20.9,27.8,105
2021-11-17 15:36:21.543,20.9,27.9,105
2021-11-17 15:36:19.266,20.9,27.9,105
2021-11-17 15:36:16.988,20.9,27.9,105
2021-11-17 15:36:14.710,20.9,27.9,105
2021-11-17 15:36:12.433,20.9,27.8,105
2021-11-17 15:36:10.151,20.9,27.8,105
2021-11-17 15:36:07.874,20.9,27.8,105
2021-11-17 15:36:05.596,20.9,27.8,105
2021-11-17 15:36:03.318,20.9,27.7,105
2021-11-17 15:36:01.041,20.9,27.7,105
2021-11-17 15:35:58.759,20.9,27.7,105
2021-11-17 15:35:56.481,20.9,27.7,105
2021-11-17 15:35:54.203,20.9,27.7,104
2021-11-17 15:35:51.926,20.9,27.7,105
2021-11-17 15:35:49.648,20.9,27.7,105
2021-11-17 15:35:47.370,20.9,27.7,104
2021-11-17 15:35:45.089,20.9,27.7,105
2021-11-17 15:35:42.811,20.9,27.6,105
2021-11-17 15:35:40.534,20.9,27.7,105
2021-11-17 15:35:38.256,20.9,27.6,105
2021-11-17 15:35:35.978,20.9,27.6,105
2021-11-17 15:35:33.697,20.9,27.6,105
2021-11-17 15:35:31.419,20.9,27.6,105
